timestamp,Open,High,Low,Close,Volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,Returns,Log_Returns,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D,RSI_Signal,BB_Signal,Stoch_Signal,MA_Signal,Weighted_Signal,Final_Signal
2025-05-28 15:00:00,2.2668,2.2765,2.2506,2.2515,49117016.5,1748447999999,111009166.24230,118193,19130986.0,43250515.60990,0,-0.006793418324584244,-0.006816598632853322,2.301635,2.308522,2.3471089999999997,25.977992571948448,-0.011420019404475124,-1,-0.004956593267144271,2.337936750646559,2.301635,2.265333249353441,1.3931888544893545,2.580798401231944,1,1,1,0,0.30000000000000004,1
2025-05-28 16:00:00,2.2515,2.2674,2.2504,2.2578,25715871.1,1748451599999,58098894.24034,71201,11492568.7,25966658.61613,0,0.002798134576948774,0.0027942270858203094,2.2980600000000004,2.307268,2.3466215,30.239439258985115,-0.013074857669669981,-1,-0.005289145225871302,2.3367630438080145,2.2980600000000004,2.2593569561919864,11.419753086419872,4.8000811760703295,0,1,1,0,0.10000000000000003,0
2025-05-28 17:00:00,2.2578,2.2656,2.235,2.2488,35819730.4,1748455199999,80573289.22394,100647,14818850.2,33332099.21396,0,-0.003986181238373576,-0.003994147235124387,2.29469,2.305608,2.346119,27.77906867679924,-0.014940330866962892,-1,-0.005723694738531369,2.3379565644580795,2.29469,2.2514234355419207,17.206982543641207,10.006641494850134,1,1,1,0,0.30000000000000004,1
2025-05-28 18:00:00,2.2487,2.2587,2.239,2.2416,20066311.4,1748458799999,45156985.36018,77308,10150850.5,22850188.23850,0,-0.0032017075773745907,-0.0032068440095795576,2.2909049999999995,2.304212,2.3456069999999998,25.959385146713103,-0.016805982735304426,-1,-0.006071477285498322,2.338614096616947,2.2909049999999995,2.243195903383052,8.33333333333352,12.320022987798188,1,1,1,0,0.30000000000000004,1
2025-05-28 19:00:00,2.2415,2.2548,2.2244,2.2261,26868658.2,1748462399999,60134382.61062,77353,10356940.8,23194022.29572,0,-0.006914703783012066,-0.006938721126459097,2.28642,2.3027439999999997,2.345011,22.536799607891098,-0.01931262186024041,-1,-0.006862493128347443,2.3403800074129473,2.28642,2.232459992587053,1.893095768374206,9.144470548449634,1,1,1,0,0.30000000000000004,1
2025-05-28 20:00:00,2.2261,2.2527,2.2251,2.2506,22118512.0,1748465999999,49555748.58753,67851,11703213.4,26215657.94769,0,0.011005794887920528,0.01094567185961321,2.28293,2.301688,2.3445954999999996,36.73524536717787,-0.01910201009931889,-1,-0.005321505093940738,2.3366761477689835,2.28293,2.2291838522310163,29.17594654788398,13.134125216530558,0,0,0,0,-0.3,-1
2025-05-28 21:00:00,2.2507,2.2623,2.2493,2.2603,10868280.1,1748469599999,24508757.26479,46066,5797667.4,13073745.52874,0,0.004309961787967609,0.0043007005036461415,2.28049,2.300682,2.34428,41.32107438021533,-0.017945524986354044,-1,-0.0033320159847807142,2.333690409772909,2.28049,2.2272895902270906,39.9777282850778,23.682256867111988,0,0,0,0,-0.3,-1
2025-05-28 22:00:00,2.2602,2.2612,2.2508,2.2597,10231861.0,1748473199999,23087816.37633,39599,4553773.8,10276604.69302,0,-0.0002654514887403536,-0.0002654867272230006,2.27808,2.299546,2.3439385,41.12251068277447,-0.016882802747007375,-1,-0.001815434996347235,2.3304558952191323,2.27808,2.225704104780868,39.30957683741641,36.15441722345938,0,0,0,0,-0.3,-1
2025-05-28 23:00:00,2.2597,2.28,2.2584,2.2732,22988445.6,1748476799999,52216737.05885,76471,12310549.1,27963192.10207,0,0.005974244368721626,0.005956469330646784,2.276155,2.298792,2.3436,47.26309990262816,-0.014780865918493369,1,0.00022920146573341717,2.326226088464358,2.276155,2.226083911535642,54.34298440979958,44.543429844097915,0,0,0,0,0.3,1
2025-05-29 00:00:00,2.2731,2.2984,2.2661,2.2945,27350642.7,1748480399999,62358694.59598,83612,14430130.8,32901983.98160,0,0.009370051029385928,0.009326424411921807,2.2752850000000002,2.298616,2.343409,55.201838048911725,-0.011266461099361358,1,0.002994885027892344,2.323408311399005,2.2752850000000002,2.2271616886009955,78.06236080178189,57.238307349665945,0,0,0,0,0.3,1
2025-05-29 01:00:00,2.2945,2.297,2.2801,2.2892,21188654.0,1748483999999,48499822.39785,72736,9177226.2,21007272.13285,0,-0.002309871431684485,-0.0023125432999410085,2.27462,2.298222,2.343115,53.06142903732485,-0.008807409333951632,1,0.004363149434641656,2.3215740030242964,2.27462,2.2276659969757038,72.16035634743882,68.18856718634008,0,0,0,0,0.3,1
2025-05-29 02:00:00,2.2891,2.3109,2.2812,2.3097,29196820.3,1748487599999,67068893.41037,76971,16512917.1,37940565.31570,0,0.00895509348243917,0.008915234417166249,2.275745,2.298384,2.3430795,59.5884035195782,-0.005145104852973148,1,0.006420363132496113,2.32487834814569,2.275745,2.22661165185431,98.61271676300542,82.9451446374087,0,0,-1,0,0.09999999999999998,0
